"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		108",서울,2003-01-01,-4.7,-1,15:46,-7.1,22:31,6.1
"		108",서울,2003-01-02,-4.3,0,14:21,-9.2,4:47,9.2
"		108",서울,2003-01-03,-3.6,-0.3,14:05,-6.8,23:58,6.5
"		108",서울,2003-01-04,-10.2,-6.8,0:00,-13.4,23:56,6.6
"		108",서울,2003-01-05,-12.8,-9.1,15:56,-15.5,7:44,6.4
"		108",서울,2003-01-06,-9.2,-4.3,15:55,-14.3,5:46,10
"		108",서울,2003-01-07,-5.6,-0.5,15:11,-10.5,7:27,10
"		108",서울,2003-01-08,-3.3,1.2,16:09,-8.6,8:16,9.8
"		108",서울,2003-01-09,0.5,4.3,14:43,-2.4,5:33,6.7
"		108",서울,2003-01-10,0.7,4.4,15:42,-1.7,8:06,6.1
"		108",서울,2003-01-11,0.6,4.9,15:37,-3.3,8:02,8.2
"		108",서울,2003-01-12,3.9,8,14:59,0,7:51,8
"		108",서울,2003-01-13,5.5,8.7,15:03,2.7,23:59,6
"		108",서울,2003-01-14,-2.2,2.7,0:00,-5.9,23:23,8.6
"		108",서울,2003-01-15,-3.9,0.6,15:26,-7.7,7:29,8.3
"		108",서울,2003-01-16,-0.1,3.2,15:55,-4.8,7:46,8
"		108",서울,2003-01-17,2.8,4.2,17:25,1.9,21:58,2.3
"		108",서울,2003-01-18,1.9,3.8,15:50,0.7,22:30,3.1
"		108",서울,2003-01-19,0.9,2.6,12:36,-0.8,7:50,3.4
"		108",서울,2003-01-20,-0.7,3,14:25,-3.2,23:57,6.2
"		108",서울,2003-01-21,-2.1,1.8,14:53,-5.6,7:05,7.4
"		108",서울,2003-01-22,-2.1,-0.8,15:34,-2.9,21:58,2.1
"		108",서울,2003-01-23,-1.3,3.1,15:00,-4.3,6:49,7.4
"		108",서울,2003-01-24,-1.6,2.5,15:09,-4.7,7:42,7.2
"		108",서울,2003-01-25,0.3,4.7,14:39,-5,8:09,9.7
"		108",서울,2003-01-26,2.7,4.2,10:59,1.8,0:02,2.4
"		108",서울,2003-01-27,-1.7,2.8,1:39,-6.1,23:50,8.9
"		108",서울,2003-01-28,-8.1,-4.1,14:11,-11.9,23:57,7.8
"		108",서울,2003-01-29,-11.7,-8.5,16:01,-13.9,7:30,5.4
"		108",서울,2003-01-30,-7.2,-1.9,16:17,-13.2,8:02,11.3
"		108",서울,2003-01-31,-2.5,0.8,15:14,-5.1,1:29,5.9
"		108",서울,2003-02-01,-1.3,4.5,15:30,-6.7,7:37,11.2
"		108",서울,2003-02-02,-0.6,4.1,14:41,-4.6,7:52,8.7
"		108",서울,2003-02-03,-0.6,4.2,15:18,-4.4,6:54,8.6
"		108",서울,2003-02-04,0.6,3.9,15:19,-1.2,2:37,5.1
"		108",서울,2003-02-05,-0.3,3.9,15:10,-2.8,5:02,6.7
"		108",서울,2003-02-06,0.5,4.9,15:32,-4.5,7:43,9.4
"		108",서울,2003-02-07,4.3,6.7,16:50,1.6,6:16,5.1
"		108",서울,2003-02-08,4.5,6,16:44,3.1,22:47,2.9
"		108",서울,2003-02-09,4.6,8.8,15:31,0.5,6:52,8.3
"		108",서울,2003-02-10,5.5,10.3,15:03,2.1,5:47,8.2
"		108",서울,2003-02-11,-0.6,4.1,0:00,-6,23:53,10.1
"		108",서울,2003-02-12,-4.1,-0.4,15:52,-8.3,7:33,7.9
"		108",서울,2003-02-13,1.5,5.6,14:51,-2.4,0:00,8
"		108",서울,2003-02-14,2.7,7.5,15:25,-1,6:53,8.5
"		108",서울,2003-02-15,4,9.7,14:55,-0.2,7:18,9.9
"		108",서울,2003-02-16,4.3,9.5,15:50,0.3,6:04,9.2
"		108",서울,2003-02-17,4.1,9.6,14:45,-0.4,7:21,10
"		108",서울,2003-02-18,4.1,7.1,15:48,1.5,2:47,5.6
"		108",서울,2003-02-19,2.2,4,16:12,0.8,23:53,3.2
"		108",서울,2003-02-20,3.3,8.5,16:13,-0.7,7:06,9.2
"		108",서울,2003-02-21,3.5,6.4,13:02,1.5,23:40,4.9
"		108",서울,2003-02-22,3.8,4.9,14:10,1.3,0:51,3.6
"		108",서울,2003-02-23,2.8,3.7,15:39,1.9,19:17,1.8
"		108",서울,2003-02-24,3.7,7.6,14:14,1.6,6:35,6
"		108",서울,2003-02-25,4.3,9.1,16:18,1.5,6:07,7.6
"		108",서울,2003-02-26,4.9,8.5,16:34,3.5,23:31,5
"		108",서울,2003-02-27,6.1,11.4,15:37,1.2,4:03,10.2
"		108",서울,2003-02-28,6.6,11.9,14:45,1.6,7:02,10.3
"		108",서울,2003-03-01,6.5,10.2,14:53,4,23:52,6.2
"		108",서울,2003-03-02,4.3,7.2,15:24,1.4,7:18,5.8
"		108",서울,2003-03-03,0.4,4.4,0:01,-2.7,23:44,7.1
"		108",서울,2003-03-04,-1,2.9,15:57,-5,7:24,7.9
"		108",서울,2003-03-05,2.5,6.9,16:52,-1.3,6:52,8.2
"		108",서울,2003-03-06,3.4,4.1,0:00,1.7,9:33,2.4
"		108",서울,2003-03-07,2.8,3.8,0:55,1.1,23:45,2.7
"		108",서울,2003-03-08,2.6,4.8,12:48,0.8,0:55,4
"		108",서울,2003-03-09,3.4,7,15:07,0,4:32,7
"		108",서울,2003-03-10,4.6,9,15:45,0.3,4:37,8.7
"		108",서울,2003-03-11,5.6,11,14:26,0.5,6:52,10.5
"		108",서울,2003-03-12,6.6,11.7,14:55,3.5,7:20,8.2
"		108",서울,2003-03-13,5.8,10.7,14:10,1.7,7:06,9
"		108",서울,2003-03-14,5.8,10.1,13:54,1.2,7:19,8.9
"		108",서울,2003-03-15,8.3,13.4,14:18,4.3,7:28,9.1
"		108",서울,2003-03-16,6.8,8.5,8:47,4.6,23:59,3.9
"		108",서울,2003-03-17,6.2,10.1,16:53,3.1,3:57,7
"		108",서울,2003-03-18,6.7,11.9,15:11,2.1,6:50,9.8
"		108",서울,2003-03-19,7.1,12.4,14:43,2,7:00,10.4
"		108",서울,2003-03-20,7.9,14.2,15:20,1.4,6:58,12.8
"		108",서울,2003-03-21,9.8,14,13:39,6.3,6:10,7.7
"		108",서울,2003-03-22,9.8,14.9,15:44,5.4,6:50,9.5
"		108",서울,2003-03-23,9,12.4,16:24,5.9,6:34,6.5
"		108",서울,2003-03-24,8.6,11.6,16:09,5.6,6:27,6
"		108",서울,2003-03-25,6.9,10.6,14:30,5.4,22:39,5.2
"		108",서울,2003-03-26,9.9,16.3,14:55,4.9,2:28,11.4
"		108",서울,2003-03-27,8.1,11.2,0:07,5.6,23:32,5.6
"		108",서울,2003-03-28,6.6,11.3,16:18,3.2,5:28,8.1
"		108",서울,2003-03-29,8,13,13:34,2,6:39,11
"		108",서울,2003-03-30,12.3,17.1,15:52,8.4,2:17,8.7
